Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
25,25,1974-12-10,24-183,NYK,,KCO,W (+4),,24:00,4,8,.500,0,0,,,,4,1,,,1,8,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
26,26,1974-12-17,24-190,NYK,,GSW,L (-18),0,35:00,5,8,.625,1,4,.250,4,4,8,3,0,1,3,11,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
27,27,1974-12-19,24-192,NYK,@,KCO,W (+4),,22:00,4,7,.571,0,0,,,,5,2,,,4,8,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
28,28,1974-12-21,24-194,NYK,,BOS,L (-18),,34:00,5,10,.500,1,2,.500,,,11,2,,,2,11,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
29,29,1974-12-25,24-198,NYK,,PHI,L (-7),,27:00,3,7,.429,2,2,1.000,,,6,0,,,6,8,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
30,30,1974-12-26,24-199,NYK,@,DET,L (-1),,45:00,6,12,.500,1,1,1.000,,,12,2,,,1,13,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
31,31,1974-12-28,24-201,NYK,,NOJ,W (+7),,33:00,3,8,.375,1,5,.200,,,4,4,,,4,7,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
32,32,1974-12-29,24-202,NYK,@,MIL,L (-26),1,32:00,3,9,.333,1,2,.500,,,9,1,1,0,2,7,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
33,33,1975-01-02,24-206,NYK,,PHO,W (+4),1,47:00,7,12,.583,0,0,,3,10,13,5,0,2,1,14,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
34,34,1975-01-04,24-208,NYK,,CLE,W (+1),1,32:00,5,9,.556,0,0,,2,4,6,0,0,0,4,10,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
35,35,1975-01-07,24-211,NYK,@,POR,L (-14),1,36:00,4,9,.444,3,4,.750,6,7,13,4,1,2,5,11,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
36,36,1975-01-08,24-212,NYK,@,SEA,W (+11),1,42:00,4,12,.333,2,2,1.000,,,11,1,,,1,10,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
37,37,1975-01-09,24-213,NYK,@,GSW,L (-36),1,26:00,1,5,.200,3,4,.750,3,7,10,2,0,0,1,5,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
38,38,1975-01-11,24-215,NYK,@,PHO,L (-6),1,39:00,5,12,.417,1,3,.333,2,10,12,1,1,4,3,11,1975,gianejo01,https://www.basketball-reference.com/players/g/gianejo01/gamelog/1975
