Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,session,player,gamelog_url
60,60,1970-03-01,24-215,KEN,@,PTP,L (-10),,,6,17,.353,0,0,,7,9,.778,,,7,,,3,19,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
61,61,1970-03-06,24-220,KEN,@,LAS,L (-20),,,11,,,0,,,3,6,.500,,,,,,,25,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
62,62,1970-03-07,24-221,KEN,@,DLC,L (-5),,,6,,,0,,,2,2,1.000,,,,,,,14,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
63,63,1970-03-09,24-223,KEN,@,NOB,L (-3),,,6,15,.400,0,0,,1,3,.333,,,7,,,5,13,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
64,64,1970-03-10,24-224,KEN,@,MMF,W (+6),,,10,22,.455,0,0,,1,1,1.000,,,13,,,5,21,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
65,65,1970-03-12,24-226,KEN,,LAS,W (+2),,,14,24,.583,0,0,,2,4,.500,,,19,,,5,30,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
66,66,1970-03-13,24-227,KEN,@,INA,L (-19),,39:00,7,24,.292,0,0,,10,11,.909,,,6,0,,2,24,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
67,67,1970-03-15,24-229,KEN,,DLC,W (+21),,,5,11,.455,0,0,,2,2,1.000,,,4,,,5,12,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
68,68,1970-03-17,24-231,KEN,,DNR,W (+9),,,9,22,.409,0,0,,1,4,.250,,,15,,,5,19,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
69,69,1970-03-19,24-233,KEN,@,MMF,W (+9),,,9,15,.600,0,0,,2,2,1.000,,,12,,,4,20,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
70,70,1970-03-20,24-234,KEN,@,CAR,L (-7),1,,3,12,.250,0,0,,0,1,.000,,,6,0,,4,6,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
71,71,1970-03-22,24-236,KEN,,NOB,W (+3),,,3,16,.188,0,0,,3,4,.750,,,18,,,4,9,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
72,72,1970-03-25,24-239,KEN,,PTP,W (+10),,,5,11,.455,0,0,,2,6,.333,,,11,,,6,12,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
73,73,1970-03-28,24-242,KEN,@,CAR,W (+3),1,,9,24,.375,0,0,,8,10,.800,,,20,1,,4,26,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
74,74,1970-03-30,24-244,KEN,,CAR,L (-5),1,,7,20,.350,0,0,,1,2,.500,,,14,1,,3,15,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
75,75,1970-03-31,24-245,KEN,@,PTP,W (+3),,,8,16,.500,0,0,,1,3,.333,,,14,,,6,17,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
76,76,1970-04-02,24-247,KEN,,INA,W (+18),,30:00,7,17,.412,0,0,,2,2,1.000,,,10,4,,3,16,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
77,77,1970-04-04,24-249,KEN,,NYA,W (+12),,,10,16,.625,0,0,,3,4,.750,,,7,,,4,23,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
78,78,1970-04-05,24-250,KEN,@,DNR,L (-14),,,8,22,.364,0,0,,2,3,.667,,,13,,,5,18,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
79,79,1970-04-07,24-252,KEN,@,DLC,W (+6),1,,12,24,.500,0,0,,3,3,1.000,,,16,,,3,27,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
80,80,1970-04-08,24-253,KEN,@,CAR,L (-4),1,,7,10,.700,0,0,,3,3,1.000,,,4,2,,6,17,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
81,81,1970-04-11,24-256,KEN,@,MMF,L (-2),,,12,,,0,,,1,1,1.000,,,,,,,25,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
82,82,1970-04-12,24-257,KEN,,WSA,W (+2),,,8,16,.500,0,0,,0,1,.000,,,6,,,6,16,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
83,83,1970-04-15,24-260,KEN,@,NYA,L (-11),,,11,15,.733,0,0,,6,8,.750,,,7,,,5,28,,1970,https://www.basketball-reference.com/players/m/moorege01/gamelog/1970/aba/
