Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
11,11,1977-11-11,25-343,CLE,@,MIL,W (+6),1,28:00,5,7,.714,2,3,.667,0,2,2,0,2,1,2,1,12,9.6,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
12,12,1977-11-15,25-347,CLE,@,LAL,W (+7),1,14:00,0,0,,0,0,,2,2,4,1,0,0,2,3,0,-0.5,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
13,13,1977-11-18,25-350,CLE,@,GSW,L (-4),1,34:00,2,6,.333,0,0,,3,3,6,2,2,0,2,2,4,4.2,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
14,14,1977-11-19,25-351,CLE,@,POR,L (-42),1,30:00,1,7,.143,1,2,.500,1,7,8,1,0,1,1,1,3,0.9,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
15,15,1977-11-20,25-352,CLE,@,SEA,W (+7),1,31:00,7,9,.778,0,0,,3,5,8,1,2,2,3,4,14,13.6,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
16,16,1977-11-24,25-356,CLE,,PHO,W (+15),1,29:00,3,7,.429,0,0,,4,10,14,1,1,1,2,1,6,8.1,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
17,17,1977-11-26,25-358,CLE,@,DET,W (+18),1,24:00,2,6,.333,1,4,.250,3,7,10,0,0,0,0,3,5,3.4,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
18,18,1977-11-29,25-361,CLE,,LAL,W (+17),1,33:00,6,11,.545,2,2,1.000,2,8,10,1,0,1,1,3,14,11.7,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
19,19,1977-12-01,25-363,CLE,,HOU,L (-13),1,38:00,4,10,.400,0,2,.000,3,4,7,1,0,0,0,4,8,4.2,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
20,20,1977-12-03,26-000,CLE,@,CHI,L (-14),1,31:00,4,10,.400,1,3,.333,5,3,8,1,0,0,1,5,9,4.9,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
21,21,1977-12-04,26-001,CLE,,WSB,L (-6),1,28:00,5,14,.357,0,0,,6,7,13,1,2,0,1,4,10,8.6,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
22,22,1977-12-06,26-003,CLE,,POR,L (-22),1,26:00,2,9,.222,0,0,,2,1,3,3,1,0,1,0,4,2.3,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
23,23,1977-12-07,26-004,CLE,@,WSB,L (-1),1,31:00,3,8,.375,1,1,1.000,1,6,7,1,2,0,1,3,7,5.6,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
24,24,1977-12-10,26-007,CLE,,ATL,W (+15),1,27:00,3,6,.500,0,0,,2,8,10,3,1,0,1,3,6,7.7,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
25,25,1977-12-13,26-010,CLE,,SEA,W (+12),1,30:00,6,7,.857,0,2,.000,2,5,7,2,1,2,2,4,12,11.8,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
26,26,1977-12-16,26-013,CLE,@,NJN,L (-10),1,39:00,4,11,.364,2,2,1.000,7,4,11,3,0,3,2,4,10,10.6,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
27,27,1977-12-17,26-014,CLE,@,PHI,L (-13),0,26:00,1,3,.333,0,0,,1,2,3,2,1,,1,2,2,,1978,breweji01,https://www.basketball-reference.com/players/b/breweji01/gamelog/1978
