Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,session,player,gamelog_url
65,65,1973-02-25,27-211,SDA,,DLC,W (+8),,,7,,,0,,,4,8,.500,,,,,,,,,18,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
66,66,1973-02-26,27-212,SDA,@,DLC,L (-5),,,4,,,0,,,3,4,.750,,,,,,,,,11,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
67,67,1973-03-01,27-215,SDA,@,VIR,L (-1),1,23:00,3,8,.375,0,0,,0,0,,,,10,1,,,,4,6,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
68,68,1973-03-02,27-216,SDA,@,CAR,W (+4),0,33:00,5,9,.556,0,0,,7,10,.700,,,17,2,,,,,17,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
69,69,1973-03-03,27-217,SDA,@,UTS,L (-11),,,0,,,0,,,1,1,1.000,,,,,,,,,1,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
70,70,1973-03-04,27-218,SDA,,VIR,W (+5),,,9,,,0,,,0,1,.000,,,,,,,,,18,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
71,71,1973-03-06,27-220,SDA,,CAR,L (-31),,,3,,,0,,,0,0,,,,,,,,,,6,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
72,72,1973-03-08,27-222,SDA,@,MMT,W (+2),,,4,,,0,,,0,0,,,,,,,,,,8,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
73,73,1973-03-10,27-224,SDA,@,DLC,W (+2),,,4,,,0,,,5,6,.833,,,,,,,,,13,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
74,74,1973-03-11,27-225,SDA,,UTS,L (-11),1,30:00,5,10,.500,0,,,2,4,.500,,,13,3,,,3,,12,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
75,75,1973-03-13,27-227,SDA,@,DNR,L (-18),,,6,,,0,,,3,4,.750,,,,,,,,,15,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
76,76,1973-03-14,27-228,SDA,@,NYA,W (+10),,,2,,,0,,,2,3,.667,,,,,,,,,6,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
77,77,1973-03-16,27-230,SDA,@,DLC,W (+6),,,2,,,0,,,2,2,1.000,,,,,,,,,6,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
78,78,1973-03-18,27-232,SDA,,NYA,W (+21),,,2,,,0,,,0,0,,,,,,,,,,4,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
79,79,1973-03-20,27-234,SDA,,UTS,W (+7),1,35:00,6,10,.600,0,,,4,4,1.000,,,7,5,,,2,,16,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
80,80,1973-03-23,27-237,SDA,,VIR,W (+12),,,6,,,0,,,1,2,.500,,,,,,,,,13,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
81,81,1973-03-24,27-238,SDA,@,DLC,L (-16),,,9,,,0,,,2,3,.667,,,,,,,,,20,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
82,82,1973-03-25,27-239,SDA,,CAR,L (-11),,,4,,,0,,,4,4,1.000,,,,,,,,,12,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
83,83,1973-03-27,27-241,SDA,,INA,L (-3),0,20:00,3,5,.600,0,0,,0,0,,,,8,1,,,,4,6,,1973,https://www.basketball-reference.com/players/m/moorege01/gamelog/1973/aba/
